trajectory_index,mode_index,selection_reason,eigenvalue,time,initial_coefficient,actual_coefficient,propagator,homogeneous_coefficient,net_forcing_injection,previous_step_forcing_projection,duhamel_reconstruction,identity_residual,relative_identity_residual,cancellation_condition,absolute_prediction_error,forcing_radius_R,epsilon,shadowing,mode_energy_fraction,selected_modes_energy_fraction
0,0,low+peak_energy,-13.676860186112613,0,-0.033236483082536905,-0.033236483082536905,1.0,-0.033236483082536905,0.0,0.0,-0.033236483082536905,0.0,0.0,1.0,0.0,0.0,0.0,1,0.0016153922488731146,0.014293203680151308
0,0,low+peak_energy,-13.676860186112613,10,-0.033236483082536905,-0.03154708212389924,0.949173424609657,-0.031547186469432484,1.0434553324167872e-07,2.1960312880653365e-08,-0.03154708212389927,2.7755575615628914e-17,4.3990572095109934e-16,1.0000086929858434,1.0434553324167872e-07,1.6989280505684367e-07,5.38535521135809e-06,1,0.0041847768873441655,0.0341076899243255
0,0,low+peak_energy,-13.676860186112613,20,-0.033236483082536905,-0.030003648109314968,0.9027405130497558,-0.030003919789898893,2.7168058392562644e-07,2.4960040121563276e-08,-0.030003648109314992,2.42861286636753e-17,4.047159310139782e-16,1.000020188846408,2.7168058392562644e-07,3.34058459432822e-07,1.1133827238975822e-05,1,0.00814732177160045,0.06131979152455245
0,0,low+peak_energy,-13.676860186112613,30,-0.033236483082536905,-0.028593168015950927,0.8603053512968742,-0.02859352425419453,3.562382436018974e-07,-5.925562644726323e-09,-0.028593168015950944,1.734723475976807e-17,3.0334201908013005e-16,1.0000276388673974,3.562382436018974e-07,4.340445356611677e-07,1.5179819451514289e-05,1,0.013218605428098218,0.09209341129010795
0,0,low+peak_energy,-13.676860186112613,40,-0.033236483082536905,-0.02730370477797194,0.8215135336938427,-0.027304220664690515,5.158867185765803e-07,1.0297351676208377e-08,-0.027303704777971952,1.3877787807814457e-17,2.541326481762771e-16,1.000040720551011,5.158867185765803e-07,5.959351846193201e-07,2.1825753312563e-05,1,0.019233436379562905,0.12433401638590347
0,0,low+peak_energy,-13.676860186112613,50,-0.033236483082536905,-0.02612486641596843,0.7860481849848074,-0.02612547720230639,6.107863379616052e-07,2.5566809194049744e-08,-0.02612486641596843,0.0,0.0,1.0000504979204563,6.107863379616052e-07,7.084650882404811e-07,2.7117785552944343e-05,1,0.02615474619539134,0.15724582201807008
0,0,low+peak_energy,-13.676860186112613,60,-0.033236483082536905,-0.025047187120875152,0.753625965060192,-0.02504787663828362,6.895174084683986e-07,9.624038857514172e-10,-0.02504718712087515,-3.469446951953614e-18,6.925630866951112e-17,1.0000595601773326,6.895174084683986e-07,8.022974981331582e-07,3.2030559305251144e-05,1,0.03399341864112357,0.19050436461258022
0,0,low+peak_energy,-13.676860186112613,70,-0.033236483082536905,-0.024062288530739395,0.7239934481901514,-0.024062995992639526,7.074619001318228e-07,3.4730180224762375e-09,-0.0240622885307394,6.938893903907228e-18,1.4418183641865964e-16,1.0000662626808738,7.074619001318228e-07,8.869698458710998e-07,3.68603247136146e-05,1,0.04277286152373227,0.22393381702296192
0,0,low+peak_energy,-13.676860186112613,80,-0.033236483082536905,-0.023162587880094572,0.6969239168015554,-0.023163299970590252,7.120904956803287e-07,5.675190619530701e-09,-0.0231625878800946,2.7755575615628914e-17,5.991282686592445e-16,1.0000724270524066,7.120904956803287e-07,9.655074705847273e-07,4.168263899403812e-05,1,0.05251704752849713,0.257413991241565
0,0,low+peak_energy,-13.676860186112613,90,-0.033236483082536905,-0.02234123087450537,0.6722145270937072,-0.022342046757585547,8.158830801761885e-07,3.7164463864008956e-08,-0.022341230874505385,1.3877787807814457e-17,3.105755698748301e-16,1.000084058119732,8.158830801761885e-07,1.062078779630243e-06,4.753721944788462e-05,1,0.0632461985029935,0.2908499187546505
0,0,low+peak_energy,-13.676860186112613,100,-0.033236483082536905,-0.021592335427694703,0.6496838174991747,-0.021593205209309314,8.697816146104043e-07,7.90504606218434e-10,-0.021592335427694696,-6.938893903907228e-18,1.6067308759043597e-16,1.0000930730999098,8.697816146104043e-07,1.1398839779373414e-06,5.278901241793932e-05,1,0.07497645519299052,0.32415935464126167
0,0,low+peak_energy,-13.676860186112613,110,-0.033236483082536905,-0.020910405570153428,0.6291695128695683,-0.020911381870537395,9.763003839674544e-07,1.8481857454177852e-08,-0.020910405570153445,1.734723475976807e-17,4.1477973256777114e-16,1.0001078421848364,9.763003839674544e-07,1.2787234385367722e-06,6.114963833826782e-05,1,0.08771533747636982,0.35726411097556793
0,0,low+peak_energy,-13.676860186112613,120,-0.033236483082536905,-0.020290712292923643,0.6105265956944347,-0.020291756869236927,1.0445763132839458e-06,7.564830747930351e-09,-0.02029071229292364,-3.469446951953614e-18,8.548907259019614e-17,1.0001186595356149,1.0445763132839458e-06,1.3631101846879564e-06,6.717556264211322e-05,1,0.10146316598057355,0.3900828029473248
0,0,low+peak_energy,-13.676860186112613,130,-0.033236483082536905,-0.019729004622927225,0.5936256118301837,-0.01973002760495452,1.0229820272961154e-06,-9.485627602834334e-09,-0.01972900462292723,3.469446951953614e-18,8.792301312042719e-17,1.0001224294006104,1.0229820272961154e-06,1.3924281833299505e-06,7.057406158825089e-05,1,0.11620960469209007,0.4225312989563866
0,0,low+peak_energy,-13.676860186112613,140,-0.033236483082536905,-0.01922125958355515,0.5783511829079988,-0.01922235930648691,1.0997229317605273e-06,1.0900001082281285e-08,-0.019221259583555143,-6.938893903907228e-18,1.8049017275328893e-16,1.0001339873742896,1.0997229317605273e-06,1.4756831703770515e-06,7.676909721893802e-05,1,0.1319301686933252,0.45452025898113296
0,0,low+peak_energy,-13.676860186112613,150,-0.033236483082536905,-0.01876417443255714,0.5646006967596445,-0.018765341506240475,1.1670736833335749e-06,1.123884150674992e-08,-0.018764174432557165,2.42861286636753e-17,6.471006311182476e-16,1.000144890046339,1.1670736833335749e-06,1.551668419715497e-06,8.268799260591579e-05,1,0.1485919190924415,0.4859527072314787
0,0,low+peak_energy,-13.676860186112613,160,-0.033236483082536905,-0.01835473454055234,0.5522831613155971,-0.01835594994783584,1.2154072835009189e-06,3.697260242754852e-08,-0.018354734540552343,3.469446951953614e-18,9.450469634677394e-17,1.0001571700557776,1.2154072835009189e-06,1.6694073680222241e-06,9.094638919622063e-05,1,0.16614891282649963,0.516732266301283
0,0,low+peak_energy,-13.676860186112613,170,-0.033236483082536905,-0.017990267710890358,0.5413182036477925,-0.017991513317809123,1.245606918765657e-06,6.90758736668351e-09,-0.017990267710890358,0.0,0.0,1.0001649337629424,1.245606918765657e-06,1.7215956311306956e-06,9.568931755321286e-05,1,0.18454339260182434,0.5467663464571211
