trajectory_index,mode_index,selection_reason,eigenvalue,time,initial_coefficient,actual_coefficient,propagator,homogeneous_coefficient,net_forcing_injection,previous_step_forcing_projection,duhamel_reconstruction,identity_residual,relative_identity_residual,cancellation_condition,absolute_prediction_error,forcing_radius_R,epsilon,shadowing,mode_energy_fraction,selected_modes_energy_fraction
0,0,low+peak_energy,-13.647125366575334,0,0.04702277188268326,0.04702277188268326,1.0,0.04702277188268326,0.0,0.0,0.04702277188268326,0.0,0.0,1.0,0.0,0.0,0.0,1,0.003233436390052582,0.012062552892787796
0,0,low+peak_energy,-13.647125366575334,10,0.04702277188268326,0.04457932392976528,0.9480392029239305,0.04457943117493285,-1.0724516756599467e-07,-1.758018157438368e-08,0.044579323929765255,2.7755575615628914e-17,3.113047305013164e-16,1.0000050164376768,1.0724516756599467e-07,1.1638423259731428e-07,2.61071596316728e-06,1,0.008666310543204726,0.031039002421200758
0,0,low+peak_energy,-13.647125366575334,20,0.04702277188268326,0.042347676093205035,0.9005846135636386,0.04234798484465743,-3.087514523977819e-07,-2.360193755712725e-09,0.042347676093205,3.469446951953614e-17,4.096354247646466e-16,1.0000147867502307,3.087514523977819e-07,3.174330568419232e-07,7.495824370541923e-06,1,0.017593541834883958,0.06062929769744328
0,0,low+peak_energy,-13.647125366575334,30,0.04702277188268326,0.040308700866124224,0.8572257730834051,0.04030913197965776,-4.311135335388627e-07,-2.013026988156863e-08,0.040308700866124245,-2.0816681711721685e-17,2.5821297419933213e-16,1.0000221786424393,4.311135335388627e-07,4.628787301553243e-07,1.1483222471496503e-05,1,0.02941083357000809,0.09772275582995485
0,0,low+peak_energy,-13.647125366575334,40,0.04702277188268326,0.03844495757951024,0.8175954353966035,0.038445603650977586,-6.4607146734591e-07,-2.7488992873636597e-08,0.0384449575795102,4.163336342344337e-17,5.414580533239294e-16,1.0000343982587134,6.4607146734591e-07,6.763681297015647e-07,1.7592860183491127e-05,1,0.04340029457725918,0.1393136130833476
0,0,low+peak_energy,-13.647125366575334,50,0.04702277188268326,0.036741237237685215,0.7813653893862905,0.03674196646213552,-7.292244503034895e-07,-1.6030526496513264e-08,0.03674123723768523,-1.3877787807814457e-17,1.8885472314221715e-16,1.0000426110682823,7.292244503034895e-07,8.363589184071805e-07,2.276304180041891e-05,1,0.059096815097269655,0.18360097707671666
0,0,low+peak_energy,-13.647125366575334,60,0.04702277188268326,0.03518364270533856,0.748242268099086,0.035184425485804846,-7.827804662866034e-07,1.3977962794176069e-08,0.03518364270533859,-2.7755575615628914e-17,3.944298540106461e-16,1.0000497337171632,7.827804662866034e-07,9.670328687876043e-07,2.7484685494658812e-05,1,0.076194297990652,0.2295046951540094
0,0,low+peak_energy,-13.647125366575334,70,0.04702277188268326,0.03375974724378952,0.7179637556311473,0.03376064590107799,-8.986572884658872e-07,-1.2488070570693122e-08,0.033759747243789516,6.938893903907228e-18,1.027660123008142e-16,1.0000585209283466,8.986572884658872e-07,1.0769944609905443e-06,3.190088436537156e-05,1,0.09444081608960513,0.2762418983125717
0,0,low+peak_energy,-13.647125366575334,80,0.04702277188268326,0.03245869691688523,0.6902952179059393,0.03245959456329811,-8.976464128812589e-07,-1.906232541259989e-08,0.03245869691688521,2.0816681711721685e-17,3.20655294555943e-16,1.000063055959756,8.976464128812589e-07,1.149067873645031e-06,3.539994535065068e-05,1,0.11359779433170288,0.32315703059228057
0,0,low+peak_energy,-13.647125366575334,90,0.04702277188268326,0.03127048608420027,0.6650267433830689,0.03127140084998579,-9.147657855160252e-07,1.9699341116674596e-09,0.031270486084200244,2.7755575615628914e-17,4.4378529361024005e-16,1.0000679771769097,9.147657855160252e-07,1.2109135790832963e-06,3.872271616139789e-05,1,0.1334284644437285,0.3696710901436581
