trajectory_index,mode_index,selection_reason,eigenvalue,peak_energy,final_energy_fraction,final_actual_coefficient,final_homogeneous_coefficient,final_net_forcing_injection,final_forcing_radius_R,final_epsilon,final_shadowing,shadowing_sample_fraction,first_epsilon_ge_0_1,first_epsilon_ge_1,max_identity_residual,max_relative_identity_residual,max_cancellation_condition,max_forcing_projection_discrepancy,max_bound_violation
0,0,low+peak_energy,-13.473226512804215,90.19505615697736,0.3787427786137269,-8.072893916397906,-3.197753804487847e+18,3.197753804487847e+18,3.198885147881081e+18,1.000353793150569,0,0.5182724252491694,1100,1560,10231.927106083602,1.8437457398056495e-15,7.923600902739328e+17,1.2961853812498703e-14,0.0
0,1,low,-13.20075514043792,1.3318357837524828,0.004106684363763027,0.840625824006993,7.223221098137688e+16,-7.223221098137688e+16,7.228781211458163e+16,1.0007697553826655,0,0.4883720930232558,1090,1470,239.159374175993,1.8449347269747288e-15,1.7191956155602982e+17,1.6237011735142914e-15,0.0
0,2,low,-13.140194813527014,0.5953340058235911,0.0032919802876507065,0.7526371965858525,8190742668274838.0,-8190742668274837.0,9635361442656976.0,1.176372135334879,0,0.4019933554817276,1080,1210,26.24736280341415,1.8304543447064203e-15,2.3684856650449124e+16,1.3340023530261647e-15,0.0
0,3,low+peak_energy,-13.025700691295736,7.474784265481552,0.028493973567681942,2.214285283277071,1.833028396861683e+16,-1.8330283968616828e+16,1.9956041475802452e+16,1.0886924343326634,0,0.42524916943521596,1100,1280,65.78571471672294,2.3683400445093496e-15,1.7290601953401754e+16,3.1780134079895106e-15,0.0
0,4,low,-12.865827964829405,1.8705673537465155,7.01603840179741e-05,0.10987605138642041,2228609962770050.8,-2228609962770050.8,3033144180501681.5,1.3610027017610722,0,0.4053156146179402,1080,1220,7.39012394861358,1.6580119608341062e-15,4.788808914116141e+16,1.7277845820728999e-15,8.646221157996279e-18
0,5,low+peak_energy,-12.774068999581628,5.274360261850491,0.0306517772292128,2.296597540243064,804299335153199.8,-804299335153197.5,805038737703776.0,1.0009193126467466,0,0.5448504983388704,1080,1640,3.0395011937946976,3.5021894814177246e-15,700748844608903.1,2.3314683517128287e-15,0.0
0,6,low+peak_energy,-12.729985667845913,3.380373943593766,0.019644935864528694,-1.8385793275226843,-65508959929684.75,65508959929682.914,302666831431742.1,4.620235640385913,0,0.3654485049833887,1070,1100,0.44795432752268427,3.478431118565012e-15,200250152848998.75,1.7277845820728999e-15,0.0
0,7,low+peak_energy,-12.660351007090666,5.043590563441773,0.014198414906274569,1.5630648490205101,70235686714452.11,-70235686714450.55,585566467975720.9,8.33716441552541,0,0.36212624584717606,1060,1090,0.09441986601999308,1.572332424601795e-15,419561706029746.25,2.275957200481571e-15,0.0
0,13,peak_energy,-12.322484143241887,3.744542875586562,0.021703981032872847,-1.932532319196706,3712944054118.2183,-3712944054120.151,41370084132237.91,11.142124289848162,0,0.36212624584717606,1060,1090,0.026282319196706094,5.212416361204238e-15,23328473080903.375,2.282896094385478e-15,0.0
0,16,peak_energy,-12.093240708024462,14.638780619857142,0.08507280886985757,3.8260659455708734,-135488997550.50244,135488997554.3285,5602595042783.044,41.35092254036879,0,0.3554817275747508,1040,1070,0.004622530991626572,1.7587332884956462e-14,1499734746332.865,4.107825191113079e-15,0.0
0,20,peak_energy,-11.84007873748695,3.410281992665466,0.010062217600520314,1.3158425245528806,-8027456085.683924,8027456086.999766,401200962332.86426,49.97859322436676,0,0.3554817275747508,1040,1070,3.729722446310646e-05,1.9655196554709172e-14,311001058852.08624,2.671474153004283e-15,0.0
